"userId","rating","projectId"
1,4,14
1,5,33
1,5,15
1,4,5
1,5,44
1,5,52
1,5,2
1,4,7
1,5,26
1,5,18
2,2.5,45
2,4,39
2,4.5,16
2,4.5,8
2,4,43
2,4,50
2,4,20
2,2.5,36
2,5,31
2,2,6
3,0.5,17
3,5,3
3,0.5,15
3,5,30
3,3,51
3,5,12
3,5,25
3,5,46
3,0.5,6
3,0.5,48
4,4,50
4,1,11
4,4,51
4,4,44
4,5,4
4,3,40
4,5,23
4,2,34
4,1,3
4,5,32
5,3,14
5,4,48
5,4,3
5,4,16
5,1,5
5,5,12
5,2,8
5,3,45
5,4,52
5,5,19
6,4,21
6,4,9
6,4,31
6,5,52
6,3,20
6,4,34
6,4,6
6,3,42
6,3,48
6,3,16
7,3.5,6
7,4.5,28
7,3.5,49
7,4.5,27
7,4.5,40
7,4,10
7,1.5,25
7,1,50
7,4.5,29
7,4.5,9
8,3,15
8,5,29
8,2,23
8,5,8
8,2,3
8,3,35
8,3,25
8,3,7
8,3,1
8,4,2
9,4,27
9,2,50
9,5,5
9,3,13
9,2,25
9,4,3
9,4,39
9,3,6
9,5,37
9,4,8
10,3.5,43
10,4,35
10,4,3
10,3,17
10,3.5,40
10,4,28
10,2,20
10,3,27
10,5,48
10,5,8
11,4,8
11,3,33
11,4,52
11,5,50
11,4,42
11,2,36
11,4,9
11,2,32
11,3,18
11,5,15
12,4,26
12,4.5,39
12,4,4
12,5,40
12,4,30
12,5,37
12,3.5,8
12,4,6
12,5,29
12,3,2
13,4,46
13,4,9
13,3,35
13,3,16
13,4,4
13,4,49
13,3,52
13,4,10
13,4,30
13,4,34
14,3,25
14,3,44
14,4,8
14,4,29
14,4,48
14,3,45
14,4,32
14,4,43
14,4,13
14,5,16
15,3,22
15,2.5,31
15,4.5,33
15,2.5,14
15,2.5,23
15,2,46
15,4.5,26
15,3.5,32
15,5,9
15,5,43
16,4,15
16,2,26
16,4,41
16,3.5,4
16,4,29
16,3,19
16,4,23
16,3.5,43
16,4.5,9
16,4,21
17,4,52
17,4,33
17,3.5,8
17,4.5,13
17,5,44
17,3.5,28
17,3,31
17,3.5,2
17,4,20
17,3.5,39
18,3,24
18,3.5,1
18,3,18
18,4.5,23
18,4,9
18,3,20
18,3.5,34
18,3.5,30
18,3,27
18,3,50
19,2,22
19,2,42
19,2,11
19,3,24
19,2,19
19,2,46
19,2,12
19,1,30
19,4,50
19,2,51
20,5,23
20,3.5,16
20,4,34
20,3,8
20,4,46
20,4,17
20,5,22
20,5,5
20,2,32
20,4,28